"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
34,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.812,57.9,2.1,2.1,5,3,1,4,1,1,6,3
22,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.561,41.5,28.5,28.5,9,1,1,9,1,1,9,1
120,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.115,60.9,29.1,29.1,3,1,2,4,3,1,1,2
7,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.719,41.5,28.5,28.5,7,1,1,5,1,1,5,1
71,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.191,47.85,32.15,32.15,9,1,1,9,1,1,9,1
44,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.532,57.9,2.1,2.1,7,1,1,6,1,1,5,2
77,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.384,60.5,-10.5,10.5,5,3,2,4,2,1,6,3
31,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.937,60.9,29.1,29.1,1,1,1,1,1,1,1,1
85,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.784,47.85,32.15,32.15,9,1,1,7,1,1,8,1
113,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.287,47.35,-7.35,7.35,8,1,1,7,1,1,7,1
79,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.24,41.5,28.5,28.5,9,1,1,8,1,1,9,1
72,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.868,26.4,-26.4,26.4,1,9,1,7,1,1,1,9
108,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.556,60.5,-10.5,10.5,7,2,1,3,1,1,7,2
90,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.135,47.85,32.15,32.15,7,1,1,5,1,1,5,1
73,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.547,26.4,-26.4,26.4,1,4,4,9,3,1,1,8
23,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.339,47.85,32.15,32.15,8,1,1,8,1,1,9,1
132,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.255,70.2,-20.2,20.2,5,3,4,3,5,1,4,5
101,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.253,68.95,1.05,1.05,7,1,1,2,1,1,3,2
41,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.751,47.35,-7.35,7.35,4,2,2,4,1,1,1,3
82,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.032,70.2,-20.2,20.2,6,3,1,5,1,1,7,3
14,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.653,57.9,2.1,2.1,7,6,7,7,7,3,6,3
45,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.845,47.35,-7.35,7.35,4,6,2,3,1,2,4,7
56,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.852,57.9,2.1,2.1,9,1,1,9,1,1,9,1
117,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.479,68.95,1.05,1.05,5,2,2,3,1,1,7,6
118,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.595,47.85,32.15,32.15,9,1,1,9,1,1,9,1
39,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.39,68.95,1.05,1.05,5,5,3,4,3,4,4,5
130,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.314,51.45,-26.45,26.45,2,8,8,7,6,3,3,8
91,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.729,51.45,-26.45,26.45,1,9,9,8,7,1,1,9
98,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.672,60.9,29.1,29.1,9,1,1,9,1,1,8,1
60,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.832,26.4,-26.4,26.4,1,7,4,4,5,1,1,9
61,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.77,51.45,-26.45,26.45,2,3,1,9,1,1,1,4
137,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.865,68.95,1.05,1.05,7,1,1,4,1,1,4,1
100,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.275,51.45,-26.45,26.45,1,8,3,2,7,1,1,9
3,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.756,68.95,1.05,1.05,9,1,1,7,1,1,9,1
25,1,0,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.837,51.45,-26.45,26.45,4,6,5,3,5,2,5,5
126,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.473,68.95,1.05,1.05,8,1,1,5,1,1,8,2
